學校代碼,學校名稱,等級,僑居地,在學學生人數_男,在學學生人數_女,新生,舊生,上學年度畢業生人數_男,上學年度畢業生人數_女
0001,國立政治大學,博士,馬來西亞,3,2,1,4,1,0
0001,國立政治大學,博士,南非,0,1,0,1,0,0
0001,國立政治大學,博士,加拿大,0,1,0,1,0,0
0001,國立政治大學,碩士,緬甸,0,2,1,1,0,0
0001,國立政治大學,碩士,印尼,0,6,4,2,0,3
0001,國立政治大學,碩士,日本,1,1,0,2,0,1
0001,國立政治大學,碩士,馬來西亞,25,9,11,23,2,1
0001,國立政治大學,碩士,菲律賓,1,0,0,1,0,0
0001,國立政治大學,碩士,新加坡,1,1,0,2,1,0
0001,國立政治大學,碩士,泰國,1,1,1,1,0,0
0001,國立政治大學,碩士,南非,1,1,1,1,1,1
0001,國立政治大學,碩士,英國,0,1,0,1,0,0
0001,國立政治大學,碩士,加拿大,4,2,1,5,2,1
0001,國立政治大學,碩士,多明尼加,1,0,0,1,0,0
0001,國立政治大學,碩士,美國,2,3,2,3,1,0
0001,國立政治大學,碩士,阿根廷,0,0,0,0,0,1
0001,國立政治大學,學士,緬甸,2,9,2,9,0,0
0001,國立政治大學,學士,印尼,8,21,7,22,1,1
0001,國立政治大學,學士,日本,3,5,5,3,0,0
0001,國立政治大學,學士,南韓,0,5,2,3,0,0
0001,國立政治大學,學士,馬來西亞,60,129,29,160,3,8
0001,國立政治大學,學士,菲律賓,1,0,0,1,0,0
0001,國立政治大學,學士,新加坡,0,4,1,3,0,1
0001,國立政治大學,學士,泰國,5,11,2,14,3,1
0001,國立政治大學,學士,越南,5,10,4,11,0,0
0001,國立政治大學,學士,紐西蘭,0,1,0,1,0,0
0001,國立政治大學,學士,南非,0,1,0,1,0,0
0001,國立政治大學,學士,加拿大,1,1,1,1,0,0
0001,國立政治大學,學士,多明尼加,1,0,0,1,0,0
0001,國立政治大學,學士,墨西哥,0,0,0,0,0,1
0001,國立政治大學,學士,美國,1,3,1,3,0,0
0001,國立政治大學,學士,阿根廷,0,1,1,0,1,0
0001,國立政治大學,學士,巴西,1,1,0,2,0,0
0001,國立政治大學,學士,巴拉圭,1,1,1,1,0,1
0002,國立清華大學,博士,馬來西亞,0,2,0,2,0,0
0002,國立清華大學,博士,越南,1,0,1,0,0,0
0002,國立清華大學,博士,南非,0,0,0,0,1,0
0002,國立清華大學,博士,美國,1,0,1,0,0,0
0002,國立清華大學,碩士,緬甸,0,0,0,0,1,0
0002,國立清華大學,碩士,印尼,2,0,0,2,0,0
0002,國立清華大學,碩士,馬來西亞,10,12,8,14,1,1
0002,國立清華大學,碩士,菲律賓,0,0,0,0,1,0
0002,國立清華大學,碩士,泰國,0,1,0,1,0,0
0002,國立清華大學,碩士,越南,1,0,1,0,1,0
0002,國立清華大學,碩士,加拿大,1,0,1,0,0,1
0002,國立清華大學,碩士,美國,1,0,0,1,2,0
0002,國立清華大學,碩士,阿根廷,0,1,0,1,0,1
0002,國立清華大學,學士,緬甸,2,5,1,6,1,2
0002,國立清華大學,學士,印尼,7,2,3,6,1,0
0002,國立清華大學,學士,日本,1,2,0,3,0,0
0002,國立清華大學,學士,馬來西亞,36,22,20,38,7,7
0002,國立清華大學,學士,新加坡,2,1,1,2,0,0
0002,國立清華大學,學士,泰國,4,0,0,4,1,1
0002,國立清華大學,學士,越南,3,0,1,2,1,0
0002,國立清華大學,學士,肯亞,0,1,0,1,0,0
0002,國立清華大學,學士,南非,1,0,1,0,1,0
0002,國立清華大學,學士,西班牙,1,0,0,1,0,0
0002,國立清華大學,學士,加拿大,0,0,0,0,1,0
0002,國立清華大學,學士,尼加拉瓜,1,0,0,1,0,0
0002,國立清華大學,學士,巴拿馬,0,1,0,1,0,0
0002,國立清華大學,學士,美國,1,3,0,4,1,0
0002,國立清華大學,學士,巴西,0,1,0,1,0,0
0002,國立清華大學,學士,巴拉圭,2,0,1,1,0,0
0003,國立臺灣大學,博士,緬甸,1,0,0,1,0,0
0003,國立臺灣大學,博士,印尼,1,1,0,2,0,0
0003,國立臺灣大學,博士,南韓,1,0,0,1,0,0
0003,國立臺灣大學,博士,馬來西亞,10,5,1,14,1,1
0003,國立臺灣大學,博士,澳大利亞,1,0,0,1,0,0
0003,國立臺灣大學,博士,紐西蘭,3,0,0,3,0,0
0003,國立臺灣大學,博士,英國,1,0,0,1,0,0
0003,國立臺灣大學,博士,加拿大,4,0,2,2,0,0
0003,國立臺灣大學,博士,多明尼加,1,0,0,1,0,0
0003,國立臺灣大學,博士,貝里斯,1,1,0,2,0,0
0003,國立臺灣大學,博士,美國,2,1,1,2,0,0
0003,國立臺灣大學,博士,阿根廷,1,0,0,1,0,0
0003,國立臺灣大學,碩士,緬甸,2,5,3,4,1,0
0003,國立臺灣大學,碩士,印尼,3,3,3,3,0,1
0003,國立臺灣大學,碩士,日本,0,2,0,2,0,0
