"菌ㄓ籓参璸
Visitor  Arrivals, 1956-2015",,,,,,,,,,,
 Year,羆璸 Total,,,膟 Foreigners,,,地勾 Overseas Chinese,,,,
,"计
No. of
Visitors","Θ瞯
Growth
Rate %","计
Index 
1991=100","计
No. of
Visitors","Θ瞯
Growth
Rate %","羆璸
κだゑ
% of Total","计
No. of
Visitors","Θ瞯
Growth
Rate %","羆璸
κだゑ
%
of Total",,
45  1956,"14,974 ",-,0.81 ,"11,734 ",-,78.36 ,"3,240 ",-,21.64 ,,
46  1957,"18,159 ",21.27 ,0.98 ,"14,068 ",19.89 ,77.47 ,"4,091 ",26.27 ,22.53 ,,
47  1958,"16,709 ",-7.99 ,0.90 ,"15,557 ",10.58 ,93.11 ,"1,152 ",-71.84 ,6.89 ,,
48  1959,"19,328 ",15.67 ,1.04 ,"17,634 ",13.35 ,91.24 ,"1,694 ",47.05 ,8.76 ,,
49  1960,"23,636 ",22.29 ,1.27 ,"20,796 ",17.93 ,87.98 ,"2,840 ",67.65 ,12.02 ,,
50  1961,"42,205 ",78.56 ,2.28 ,"34,831 ",67.49 ,82.53 ,"7,374 ",159.65 ,17.47 ,,
51  1962,"52,304 ",23.93 ,2.82 ,"44,625 ",28.12 ,85.32 ,"7,679 ",4.14 ,14.68 ,,
52  1963,"72,024 ",37.70 ,3.88 ,"61,348 ",37.47 ,85.18 ,"10,676 ",39.03 ,14.82 ,,
53  1964,"95,481 ",32.57 ,5.15 ,"83,017 ",35.32 ,86.95 ,"12,464 ",16.75 ,13.05 ,,
54  1965,"133,666 ",39.99 ,7.21 ,"118,460 ",42.69 ,88.62 ,"15,206 ",22.00 ,11.38 ,,
55  1966,"182,948 ",36.87 ,9.87 ,"160,279 ",35.30 ,87.61 ,"22,669 ",49.08 ,12.39 ,,
56  1967,"253,248 ",38.43 ,13.66 ,"198,218 ",23.67 ,78.27 ,"55,030 ",142.75 ,21.73 ,,
57  1968,"301,770 ",19.16 ,16.27 ,"250,599 ",26.43 ,83.04 ,"51,171 ",-7.01 ,16.96 ,,
58  1969,"371,473 ",23.10 ,20.03 ,"321,188 ",28.17 ,86.46 ,"50,285 ",-1.73 ,13.54 ,,
